year,Anchoveta,Concha de abanico,Langostino,Merluza,Calamar gigante,Atun,Caballa,Jurel,Sardina,Concha de abanico,Jurel,Liza,Tollo,total_production
2005,8628.396,13.537,9.021,23.279,235.63,9.877,25.711,20.481,0.165,1.84308,56.16794,5.8756,0.43,9030.41362
2006,5891.838,14.714,11.295,25.189,365.729,11.336,58.245,122.904,0.048,4.048,136.827,3.166,1.584,6646.923
2007,6084.713,19.937,13.548,28.35848846,379.5565936,3.713293,26.2487395,82.9103069,0.00102,4.822990645,134.8873158,9.317622237,2.834958352,6790.849328
2008,6159.387,18.79,12.817,26.3483976,484.162082,3.283711,47.6941208,58.8642022,0,0.8281875,80.09288469,14.5140543,2.933360195,6909.715
2009,5828.636,24.6343723,11.8773992,36.7747635,355.1065886,2.017061,51.3559077,14.2890414,0,1.84307234,47.07917491,17.31134402,4.057885512,6394.98261
2010,3330.41304,60.0012502,14.47793863,25.6476974,327.5719086,9.182845,9.729522,5.774274,0,2.82474864,10.40493333,9.706362857,4.994712,3810.729233
2011,7000.092781,92.02763651,23.3844784,28.5444581,373.1956614,6.586856,20.478814,83.27794284,0.05446333,0.873130045,72.955117,12.12480751,5.68752016,7719.283666
2012,3693.87108,38.93339,22.70722,21.05478,457.07267,1.11506,9.97851,43.69394,0.08846,0.74461,72.93047,17.16242,4.23538,4383.58799
2013,4754.11821,89.29328443,19.11137215,31.18746139,410.7595338,7.13643621,26.60055325,7.197624312,0,2.180252235,54.45454142,12.53082059,3.945647367,5418.515737
2014,2255.45346,52.2665,21.76299,30.7708,465.00758,4.73454,29.57644,8.88256,0,0.60816,46.346459,12.24867,5.20688,2932.865039
2015,3616.4815,14.84315,26.77221,25.64413,426.9323,11.08212,15.31491,2.769796,0.16414,0.61591,17.53693,12.46352,7.71768,4178.338296
2016,2732.73374,10.09013,29.25375,25.80021,246.1247,10.88449,57.67517,0.41204,0.00749,0.57975,12.47205,15.75758,9.45313,3151.24423
2017,3165.49024,4.59609,38.76007,37.14743,252.42993,11.80275,23.24914,1.05291,0,0.3737,6.88953,29.06174,6.69266,3577.54619
2018,6072.887839,36.53034931,31.50587898,34.87657616,319.1464881,18.1389751,24.61046839,14.61984554,0,1.5513662,14.720969,23.32631,3.672117,6595.587183
2019,3381.437222,53.11286324,42.85763721,28.9798494,483.7652393,17.83929772,19.59878414,27.7334319,0,1.226520993,40.7987006,24.02982,1.241883,4122.621249
2020,4314.55822,46.99528682,34.51697125,19.8429,407.38485,3.84368,28.4087,23.47589,0,0.616696667,48.11581,14.992172,0.544585,4943.295762
